Bit Size,Input 1,Input 2,Hash,Tries,Time (s)
8,sgfmsyVEha,CuWfKzqAbD,c5,25,0.0016022019999581971
10,eVTnJdVtTx,MjzEQfjZgZ,35,18,0.0010359090001657023
12,MilJuFMlGF,NzVDBjVOgv,a7,17,0.0010491739999451966
14,llpmhrexXc,PcCRtGRuNs,6a,11,0.000587203999657504
16,gnTtrdGGWz,DcsQAUZdHd,cc88,490,0.023566988999846217
18,BmERGYWYOo,fbpvJKMRuu,1f82,245,0.008791691999704199
20,tAWFVrRXzP,jLTyqxeQpT,c37e,160,0.004543803000160551
22,vLetVsipEC,BEpMGGJkeQ,3ea5,209,0.005343806999917433
24,mGfUcVyVex,WrXtLsfAXX,5b9ed4,7990,0.22326107200024126
26,KOlQExLgTH,chzASHzlBD,f465a2,8599,0.22755633399992803
28,DGLcNveCFO,gTdezGlUxD,7c0404,3690,0.09354553899993334
30,ZYOwBwtiDw,jxfahkHNov,9213e9,6628,0.16812218499990195
