Bit Size,Input 1,Input 2,Hash,Tries,Time (s)
8,GxolFchHSR,tsAtqIrvKe,36,25,0.00044183304999023676
10,hewxcRjGmL,YEqRFPzaix,75,17,0.00027645903173834085
12,DqYWijceuR,bgSnejmuMS,52,26,0.00041641690768301487
14,GVFqtvznZP,CXpIkBjxrL,c6,12,0.00019279203843325377
16,qpRshBvtNS,RjTiZzzAjD,de52,74,0.001262499950826168
18,ybUOQBmCXg,ckiuhTInmT,ce85,481,0.008048041956499219
20,evOWiSRHpS,DoXlsddVKU,8681,227,0.003700624918565154
22,OaVGASCTMv,EASDWjInZV,eb27,459,0.0076196660520508885
24,ksRWUbkPXH,UWzLsCaGjZ,71c185,3623,0.05971054208930582
26,XekcuBgiab,cjpWKcZFNQ,47ede9,2094,0.03427104197908193
28,VHjhDXrEPX,OCsUXOIoqd,b5987e,4634,0.07587258401326835
30,irQdLdYCxC,XJTrLSTjvy,f74a75,5978,0.09837254206649959
32,twhKRsDnye,WsFTYcbDZE,30e2d656,110531,1.8677269159816206
34,juRkgTMYTW,WJbTXBRxqq,6be5381a,67841,1.5587471659528092
36,GkHHvhPeeS,RSpuOooMSY,0b35af7a,42594,0.8516649580560625
38,eQXDUYccDS,cVgLWtSlHx,0e31b07d,28036,0.5479289999930188
40,ydrwugpKcw,aGXXBNHzmC,8b5f383090,1861347,34.50552875001449
42,bjHOxEJlyk,FSpwRGEAsR,71f7875270,534763,9.41495812498033
44,kIgYnRmlmd,fLETiZdxxF,bb24ea1e72,1600330,28.359271291992627
46,AfTLeOSDaU,LFEJfYroek,aff98dbd8b,608692,11.783623458002694
48,ignJWCycLY,FiqeFbFfTY,6f885fa36c10,36057788,647.1513642079663
50,HckgcUJxOf,BngDIdgayn,5b4688fe32ad,19914073,355.8443372080801
